FID,OBJECTID,pointid,grid_code,RASTERVALU
0,1,1,24,7465.0000000
1,2,2,24,7472.0000000
2,3,3,24,8094.0000000
3,4,4,24,8095.0000000
4,5,5,24,8096.0000000
5,6,6,24,8098.0000000
6,7,7,24,8099.0000000
7,8,8,24,8100.0000000
8,9,9,24,8101.0000000
9,10,10,24,8102.0000000
10,11,11,24,8103.0000000
11,12,12,24,8104.0000000
12,13,13,24,8105.0000000
13,14,14,24,8724.0000000
14,15,15,24,8725.0000000
15,16,16,24,8726.0000000
16,17,17,24,8728.0000000
17,18,18,24,8729.0000000
18,19,19,24,8730.0000000
19,20,20,24,8731.0000000
20,21,21,24,8732.0000000
21,22,22,24,8733.0000000
22,23,23,24,8737.0000000
23,24,24,24,9356.0000000
24,25,25,24,9359.0000000
25,26,26,24,9360.0000000
26,27,27,24,9363.0000000
27,28,28,24,9364.0000000
28,29,29,24,9987.0000000
29,30,30,24,9988.0000000
30,31,31,24,9989.0000000
31,32,32,24,9990.0000000
32,33,33,24,9991.0000000
33,34,34,24,10003.0000000
34,35,35,24,10620.0000000
35,36,36,24,10621.0000000
36,37,37,24,10639.0000000
37,38,38,34,11205.0000000
38,39,39,24,11253.0000000
39,40,40,35,20053.0000000
40,41,41,45,23843.0000000
41,42,42,45,26374.0000000
42,43,43,45,27007.0000000
43,44,44,45,27009.0000000
44,45,45,45,27641.0000000
45,46,46,45,27642.0000000
46,47,47,45,28274.0000000
47,48,48,45,28275.0000000
48,49,49,45,28906.0000000
49,50,50,45,30170.0000000
50,51,51,45,31432.0000000
51,52,52,45,37797.0000000
52,53,53,45,39058.0000000
53,54,54,45,39059.0000000
54,55,55,45,39671.0000000
55,56,56,45,39690.0000000
56,57,57,45,39691.0000000
57,58,58,45,41606.0000000
58,59,59,45,41607.0000000
59,60,60,45,42238.0000000
60,61,61,45,42849.0000000
61,62,62,45,42850.0000000
62,63,63,45,42870.0000000
63,64,64,55,43450.0000000
64,65,65,45,43480.0000000
65,66,66,45,43481.0000000
66,67,67,45,43502.0000000
67,68,68,55,44081.0000000
68,69,69,45,44112.0000000
69,70,70,45,44125.0000000
70,71,71,45,44134.0000000
71,72,72,45,44729.0000000
72,73,73,45,44742.0000000
73,74,74,45,44747.0000000
74,75,75,45,44749.0000000
75,76,76,45,44750.0000000
76,77,77,31,44784.0000000
77,78,78,55,45343.0000000
78,79,79,55,45344.0000000
79,80,80,45,45357.0000000
80,81,81,45,45374.0000000
81,82,82,45,45380.0000000
82,83,83,45,45382.0000000
83,84,84,45,45456.0000000
84,85,85,55,45975.0000000
85,86,86,45,45984.0000000
86,87,87,45,45989.0000000
87,88,88,45,45996.0000000
88,89,89,45,46011.0000000
89,90,90,45,46014.0000000
90,91,91,45,46019.0000000
91,92,92,45,46029.0000000
92,93,93,45,46088.0000000
93,94,94,45,46089.0000000
94,95,95,45,46100.0000000
95,96,96,45,46611.0000000
96,97,97,45,46612.0000000
97,98,98,45,46616.0000000
98,99,99,45,46617.0000000
99,100,100,45,46620.0000000
100,101,101,45,46627.0000000
101,102,102,45,46628.0000000
102,103,103,45,46644.0000000
103,104,104,45,46645.0000000
104,105,105,45,46646.0000000
105,106,106,45,46651.0000000
106,107,107,45,46663.0000000
107,108,108,45,46731.0000000
108,109,109,45,46732.0000000
109,110,110,45,47243.0000000
110,111,111,45,47244.0000000
111,112,112,45,47247.0000000
112,113,113,45,47248.0000000
113,114,114,45,47249.0000000
114,115,115,45,47250.0000000
115,116,116,45,47251.0000000
116,117,117,45,47252.0000000
117,118,118,45,47259.0000000
118,119,119,45,47272.0000000
119,120,120,45,47275.0000000
120,121,121,45,47276.0000000
121,122,122,45,47278.0000000
122,123,123,45,47281.0000000
123,124,124,45,47285.0000000
124,125,125,45,47293.0000000
125,126,126,45,47294.0000000
126,127,127,45,47295.0000000
127,128,128,45,47298.0000000
128,129,129,45,47364.0000000
129,130,130,45,47365.0000000
130,131,131,45,47876.0000000
131,132,132,45,47879.0000000
132,133,133,45,47880.0000000
133,134,134,45,47881.0000000
134,135,135,45,47882.0000000
135,136,136,45,47891.0000000
136,137,137,45,47893.0000000
137,138,138,45,47901.0000000
138,139,139,45,47904.0000000
139,140,140,55,47910.0000000
140,141,141,45,47914.0000000
141,142,142,45,47915.0000000
142,143,143,45,47916.0000000
143,144,144,45,47927.0000000
144,145,145,45,47996.0000000
145,146,146,45,47997.0000000
146,147,147,55,48500.0000000
147,148,148,45,48503.0000000
148,149,149,45,48504.0000000
149,150,150,45,48512.0000000
150,151,151,45,48513.0000000
151,152,152,45,48514.0000000
152,153,153,45,48515.0000000
153,154,154,45,48516.0000000
154,155,155,45,48519.0000000
155,156,156,45,48521.0000000
156,157,157,45,48522.0000000
157,158,158,45,48523.0000000
158,159,159,45,48525.0000000
159,160,160,45,48526.0000000
160,161,161,45,48527.0000000
161,162,162,45,48544.0000000
162,163,163,45,48545.0000000
163,164,164,45,48546.0000000
164,165,165,45,49138.0000000
165,166,166,45,49139.0000000
166,167,167,45,49140.0000000
167,168,168,45,49141.0000000
168,169,169,45,49142.0000000
169,170,170,45,49143.0000000
170,171,171,45,49144.0000000
171,172,172,45,49145.0000000
172,173,173,45,49146.0000000
173,174,174,45,49147.0000000
174,175,175,45,49154.0000000
175,176,176,45,49155.0000000
176,177,177,45,49156.0000000
177,178,178,45,49157.0000000
178,179,179,45,49158.0000000
179,180,180,45,49167.0000000
180,181,181,55,49176.0000000
181,182,182,45,49177.0000000
182,183,183,45,49178.0000000
183,184,184,45,49179.0000000
184,185,185,45,49182.0000000
185,186,186,45,49183.0000000
186,187,187,45,49256.0000000
187,188,188,45,49261.0000000
188,189,189,45,49768.0000000
189,190,190,45,49769.0000000
190,191,191,45,49771.0000000
191,192,192,45,49775.0000000
192,193,193,45,49776.0000000
193,194,194,45,49778.0000000
194,195,195,45,49779.0000000
195,196,196,45,49780.0000000
196,197,197,45,49781.0000000
197,198,198,45,49786.0000000
198,199,199,45,49787.0000000
199,200,200,45,49788.0000000
200,201,201,45,49800.0000000
201,202,202,55,49808.0000000
202,203,203,45,49809.0000000
203,204,204,45,49810.0000000
204,205,205,45,49811.0000000
205,206,206,45,49812.0000000
206,207,207,45,49888.0000000
207,208,208,45,49889.0000000
208,209,209,45,49890.0000000
209,210,210,45,49893.0000000
210,211,211,45,50398.0000000
211,212,212,45,50401.0000000
212,213,213,45,50402.0000000
213,214,214,55,50405.0000000
214,215,215,55,50406.0000000
215,216,216,45,50410.0000000
216,217,217,45,50411.0000000
217,218,218,45,50413.0000000
218,219,219,45,50417.0000000
219,220,220,45,50420.0000000
220,221,221,45,50421.0000000
221,222,222,45,50433.0000000
222,223,223,45,50440.0000000
223,224,224,45,50445.0000000
224,225,225,45,50446.0000000
225,226,226,45,50521.0000000
226,227,227,45,50522.0000000
227,228,228,55,51031.0000000
228,229,229,55,51033.0000000
229,230,230,55,51034.0000000
